Store Type,Item Name,Item Price
Fashion Store,Coat,170
Hardware Store,Video Card,231307
Fashion Store,Blouse,139
Fashion Store,Tank Top,85
Hardware Store,Storage,83603
Hardware Store,Storage,116349
Fashion Store,Onesie,30
Hardware Store,CPU,58116
Hardware Store,Mother Board,50414
Grocery Store,sausage,19
Hardware Store,Storage,35806
Hardware Store,Storage,3778
Grocery Store,beef,19
Grocery Store,pastry,63
Hardware Store,CPU,91452
Hardware Store,CPU,73871
Fashion Store,Blazer,36
Fashion Store,Umbrella,18
Fashion Store,Belt,69
Grocery Store,margarine,30
Grocery Store,frankfurter,9
Grocery Store,pork,56
Fashion Store,Jeans,146
Fashion Store,Sweater,75
Fashion Store,Slippers,16
Fashion Store,Kimono,140
Hardware Store,Mother Board,38524
Fashion Store,Blazer,112
Hardware Store,Video Card,58010
Fashion Store,Shorts,38
Fashion Store,Dress,21
Hardware Store,CPU,73768
Hardware Store,Mother Board,48089
Hardware Store,CPU,39977
Hardware Store,Video Card,174031
Fashion Store,Belt,81
Hardware Store,CPU,149926
Fashion Store,Sweater,57
Fashion Store,Blazer,144
Hardware Store,Video Card,70235
Grocery Store,bottled water,24
Grocery Store,pot plants,46
Grocery Store,beverages,18
Grocery Store,berries,46
Fashion Store,Loafers,147
Grocery Store,other vegetables,19
Fashion Store,Poncho,114
Grocery Store,rolls/buns,51
Hardware Store,Storage,59013
Grocery Store,root vegetables,39
Grocery Store,grapes,30
Hardware Store,Video Card,66354
Hardware Store,Mother Board,23158
Hardware Store,CPU,73768
Grocery Store,beef,54
Fashion Store,Backpack,69
Fashion Store,Trousers,104
Hardware Store,Mother Board,20708
Hardware Store,Mother Board,42889
Grocery Store,tropical fruit,48
Grocery Store,sausage,19
Grocery Store,sliced cheese,36
Fashion Store,Gloves,33
Hardware Store,Storage,54604
Hardware Store,Storage,60953
Grocery Store,frankfurter,30
Grocery Store,rolls/buns,6
Fashion Store,Slippers,116
Hardware Store,Storage,51093
Grocery Store,sausage,68
Hardware Store,Mother Board,21969
Fashion Store,Coat,123
Hardware Store,CPU,39977
Hardware Store,Mother Board,50414
Grocery Store,hamburger meat,52
Fashion Store,Onesie,86
Fashion Store,Kimono,44
Fashion Store,Blouse,130
Grocery Store,whole milk,859
Hardware Store,Storage,49909
Hardware Store,Mother Board,25231
Grocery Store,tropical fruit,44
Fashion Store,Gloves,50
Grocery Store,sausage,64
Hardware Store,CPU,86559
Grocery Store,domestic eggs,47
Hardware Store,Storage,61863
Grocery Store,sliced cheese,45
Grocery Store,salt,14
Grocery Store,chicken,24
Grocery Store,fruit/vegetable juice,4
Fashion Store,Slippers,4069
Hardware Store,Storage,10689
Grocery Store,rolls/buns,37
Hardware Store,Mother Board,48089
Grocery Store,other vegetables,59
Fashion Store,Boots,90
Grocery Store,pork,17
Hardware Store,Storage,83406
Grocery Store,canned beer,43
Grocery Store,frankfurter,16
Fashion Store,Pajamas,3728
Fashion Store,Skirt,182
Grocery Store,citrus fruit,56
Fashion Store,Blazer,158
Hardware Store,Storage,113168
Fashion Store,Slippers,191
Grocery Store,beef,15
Grocery Store,bottled water,58
Fashion Store,Tank Top,160
Hardware Store,Storage,28423
Hardware Store,Video Card,53503
Fashion Store,Sun Hat,29
Fashion Store,Trench Coat,71
Fashion Store,Shorts,23
Hardware Store,Storage,60240
Hardware Store,Storage,64783
Grocery Store,bottled water,1631
Hardware Store,Mother Board,25810
Hardware Store,Video Card,262806
Fashion Store,Handbag,4619
Hardware Store,Storage,45254
Grocery Store,canned beer,31
Grocery Store,pork,28
Grocery Store,beef,4
Fashion Store,Blazer,22
Grocery Store,beef,56
Hardware Store,Storage,106866
Hardware Store,CPU,51110
Hardware Store,Video Card,60529
Grocery Store,brown bread,51
Fashion Store,Poncho,28
Hardware Store,Video Card,55162
Grocery Store,popcorn,12
Grocery Store,sugar,51
Fashion Store,Vest,113
Fashion Store,Vest,66
Fashion Store,Sweater,76
Fashion Store,Swimsuit,154
Hardware Store,Video Card,70235
